symbol,shares,entryPrice,entryTime,exitPrice,exitTime,side,setup,confidence,ruleViolation,psychology,whatWorked,whatFailed,link
NVDA,500,137.40,2025-11-21 9:35:00 AM,142.60,2025-11-21 10:50:00 AM,long,ORB breakout,5,n/a,very confident,scaled in on confirmation,could hold runner,
TSLA,300,257.60,2025-11-19 9:40:00 AM,262.80,2025-11-19 11:00:00 AM,long,trend continuation,4,n/a,patient,held through pullback,sold too soon,
PLTR,700,75.80,2025-11-20 9:35:00 AM,79.20,2025-11-20 11:15:00 AM,long,gap and go,5,n/a,confident,A+ execution,took profits early,
MARA,900,21.40,2025-11-17 10:00:00 AM,23.00,2025-11-17 1:30:00 PM,long,crypto momentum,5,n/a,very confident,rode momentum,could scale better,
AMD,400,154.00,2025-11-18 9:45:00 AM,158.80,2025-11-18 11:30:00 AM,long,VWAP reclaim,4,n/a,focused,waited for volume,took profits early,
META,100,550.60,2025-11-21 10:00:00 AM,557.40,2025-11-21 11:30:00 AM,long,PMH breakout,5,n/a,very confident,added on confirmation,took profits early,
SMCI,500,41.80,2025-11-19 2:00:00 PM,45.00,2025-11-19 3:30:00 PM,long,trend continuation,4,n/a,patient,held through pullback,exited at first resistance,
NET,400,119.80,2025-11-17 11:00:00 AM,116.20,2025-11-17 12:30:00 PM,short,reversal play,4,n/a,calm,good entry timing,exited before target,
UPST,400,78.40,2025-11-20 2:00:00 PM,82.00,2025-11-20 3:30:00 PM,long,morning momentum,4,n/a,focused,correlated entry timing,took profits early,

Week Summary,,,,,,,,,,,,,,
NVDA,450,135.20,2025-11-14 9:35:00 AM,140.40,2025-11-14 10:55:00 AM,long,ORB breakout,5,n/a,very confident,scaled in on confirmation,could hold runner,
PLTR,600,74.20,2025-11-12 9:40:00 AM,77.60,2025-11-12 11:20:00 AM,long,VWAP reclaim,5,n/a,focused,waited for volume,sold too soon,
TSLA,200,254.40,2025-11-10 10:00:00 AM,259.20,2025-11-10 12:00:00 PM,long,trend continuation,4,n/a,patient,held through pullback,took profits early,
AMD,350,151.80,2025-11-13 9:35:00 AM,156.60,2025-11-13 10:50:00 AM,long,morning momentum,5,n/a,confident,A+ execution,could hold runner,
MARA,800,21.00,2025-11-11 11:00:00 AM,22.60,2025-11-11 1:45:00 PM,long,crypto momentum,4,n/a,focused,correlated entry timing,could scale better,
CRWD,100,369.40,2025-11-14 10:00:00 AM,376.60,2025-11-14 11:30:00 AM,long,flag breakout,5,n/a,very confident,rode momentum,took profits early,
GOOGL,200,176.60,2025-11-10 2:00:00 PM,172.80,2025-11-10 3:30:00 PM,short,reversal play,4,n/a,calm,good entry timing,exited before target,
AMZN,250,211.80,2025-11-12 2:00:00 PM,215.60,2025-11-12 3:30:00 PM,long,support reclaim,4,n/a,patient,good entry timing,exited at first resistance,
SMCI,500,40.40,2025-11-11 9:45:00 AM,43.60,2025-11-11 11:15:00 AM,long,gap and go,4,n/a,calm,partial exits smooth,took profits early,

Week Summary,,,,,,,,,,,,,,
NVDA,500,133.00,2025-11-07 9:35:00 AM,138.20,2025-11-07 10:50:00 AM,long,ORB breakout,5,n/a,very confident,scaled in on confirmation,could hold runner,
TSLA,300,251.40,2025-11-05 9:40:00 AM,256.60,2025-11-05 11:00:00 AM,long,trend continuation,4,n/a,patient,held through pullback,sold too soon,
PLTR,700,72.80,2025-11-06 9:35:00 AM,76.20,2025-11-06 11:15:00 AM,long,gap and go,5,n/a,confident,A+ execution,took profits early,
MARA,900,20.60,2025-11-03 10:00:00 AM,22.20,2025-11-03 1:30:00 PM,long,crypto momentum,5,n/a,very confident,rode momentum,could scale better,
AMD,400,149.60,2025-11-04 9:45:00 AM,154.40,2025-11-04 11:30:00 AM,long,VWAP reclaim,4,n/a,focused,waited for volume,took profits early,
NET,300,117.40,2025-11-05 2:00:00 PM,121.20,2025-11-05 3:30:00 PM,long,consolidation break,4,n/a,calm,partial exits smooth,exited at first resistance,
DDOG,300,140.80,2025-11-07 1:30:00 PM,144.60,2025-11-07 3:00:00 PM,long,trend continuation,4,n/a,calm,partial exits smooth,exited at first resistance,
SMCI,400,38.80,2025-11-06 11:00:00 AM,42.00,2025-11-06 1:45:00 PM,long,support reclaim,5,n/a,very confident,added on confirmation,could hold runner,
RIOT,700,14.80,2025-11-04 11:00:00 AM,15.90,2025-11-04 1:45:00 PM,long,BTC correlation,4,n/a,focused,correlated entry timing,took profits early,

Week Summary,,,,,,,,,,,,,,
NVDA,450,130.80,2025-10-31 9:35:00 AM,135.60,2025-10-31 10:45:00 AM,long,ORB breakout,5,n/a,very confident,scaled in on confirmation,could hold runner,
PLTR,600,71.60,2025-10-29 9:40:00 AM,74.80,2025-10-29 11:20:00 AM,long,VWAP reclaim,5,n/a,focused,waited for volume,sold too soon,
TSLA,200,248.40,2025-10-27 10:00:00 AM,253.20,2025-10-27 12:00:00 PM,long,trend continuation,4,n/a,patient,held through pullback,took profits early,
AMD,350,147.40,2025-10-30 9:35:00 AM,152.20,2025-10-30 10:50:00 AM,long,morning momentum,5,n/a,confident,A+ execution,could hold runner,
MARA,800,20.20,2025-10-28 11:30:00 AM,21.80,2025-10-28 2:00:00 PM,long,crypto momentum,4,n/a,focused,correlated entry timing,could scale better,
CRWD,100,365.80,2025-10-31 10:00:00 AM,373.00,2025-10-31 11:30:00 AM,long,multi-day breakout,5,n/a,very confident,rode momentum,took profits early,
SMCI,500,37.60,2025-10-29 2:00:00 PM,40.80,2025-10-29 3:30:00 PM,long,trend continuation,4,n/a,patient,held through pullback,exited at first resistance,
GOOGL,200,174.40,2025-10-27 1:30:00 PM,178.60,2025-10-27 3:00:00 PM,long,support reclaim,4,n/a,patient,good entry timing,took profits early,
NET,400,115.80,2025-10-28 11:00:00 AM,119.60,2025-10-28 1:45:00 PM,long,consolidation break,4,n/a,calm,partial exits smooth,exited at first resistance,

Week Summary,,,,,,,,,,,,,,
NVDA,500,128.60,2025-10-24 9:35:00 AM,133.40,2025-10-24 10:50:00 AM,long,ORB breakout,5,n/a,very confident,scaled in on confirmation,could hold runner,
TSLA,300,245.60,2025-10-22 9:40:00 AM,250.40,2025-10-22 11:00:00 AM,long,trend continuation,4,n/a,patient,held through pullback,sold too soon,
PLTR,700,70.40,2025-10-23 9:35:00 AM,73.60,2025-10-23 11:15:00 AM,long,gap and go,5,n/a,confident,A+ execution,took profits early,
MARA,800,19.80,2025-10-20 10:00:00 AM,21.40,2025-10-20 1:30:00 PM,long,crypto momentum,5,n/a,very confident,rode momentum,could scale better,
AMD,400,145.20,2025-10-21 9:45:00 AM,150.00,2025-10-21 11:30:00 AM,long,VWAP reclaim,4,n/a,focused,waited for volume,took profits early,
META,100,541.00,2025-10-24 10:00:00 AM,547.80,2025-10-24 11:30:00 AM,long,PMH breakout,5,n/a,very confident,added on confirmation,took profits early,
RIOT,700,14.20,2025-10-22 11:00:00 AM,15.30,2025-10-22 1:45:00 PM,long,BTC correlation,4,n/a,focused,correlated entry timing,took profits early,
SMCI,400,36.40,2025-10-23 2:00:00 PM,39.60,2025-10-23 3:30:00 PM,long,support reclaim,4,n/a,calm,partial exits smooth,exited at first resistance,
DDOG,300,132.40,2025-10-20 2:15:00 PM,136.60,2025-10-20 3:45:00 PM,long,trend continuation,4,n/a,patient,good entry timing,exited at first resistance,

Week Summary,,,,,,,,,,,,,,
NVDA,450,126.40,2025-10-17 9:35:00 AM,131.20,2025-10-17 10:55:00 AM,long,ORB breakout,5,n/a,very confident,scaled in on confirmation,could hold runner,
PLTR,600,69.20,2025-10-15 9:40:00 AM,72.40,2025-10-15 11:20:00 AM,long,VWAP reclaim,5,n/a,focused,waited for volume,sold too soon,
TSLA,200,242.80,2025-10-13 10:00:00 AM,247.60,2025-10-13 12:00:00 PM,long,trend continuation,4,n/a,patient,held through pullback,took profits early,
AMD,350,143.00,2025-10-16 9:35:00 AM,147.80,2025-10-16 10:50:00 AM,long,morning momentum,5,n/a,confident,A+ execution,could hold runner,
MARA,800,19.40,2025-10-14 11:00:00 AM,21.00,2025-10-14 1:30:00 PM,long,crypto momentum,4,n/a,focused,correlated entry timing,could scale better,
CRWD,100,362.00,2025-10-17 10:00:00 AM,369.40,2025-10-17 11:30:00 AM,long,flag breakout,5,n/a,very confident,rode momentum,took profits early,
GOOGL,200,172.00,2025-10-13 2:00:00 PM,176.20,2025-10-13 3:30:00 PM,long,pullback to 9 EMA,4,n/a,patient,good entry timing,exited at first resistance,
AMZN,250,209.00,2025-10-15 2:00:00 PM,213.20,2025-10-15 3:30:00 PM,long,support reclaim,4,n/a,calm,partial exits smooth,exited at first resistance,
SMCI,500,35.20,2025-10-14 9:45:00 AM,38.40,2025-10-14 11:15:00 AM,long,gap and go,4,n/a,calm,partial exits smooth,took profits early,

Week Summary,,,,,,,,,,,,,,
NVDA,500,124.20,2025-10-10 9:35:00 AM,129.00,2025-10-10 10:50:00 AM,long,ORB breakout,5,n/a,very confident,scaled in on confirmation,could hold runner,
TSLA,300,240.60,2025-10-08 9:40:00 AM,245.40,2025-10-08 11:00:00 AM,long,trend continuation,4,n/a,patient,held through pullback,sold too soon,
PLTR,700,68.20,2025-10-09 9:35:00 AM,71.40,2025-10-09 11:15:00 AM,long,gap and go,5,n/a,confident,A+ execution,took profits early,
MARA,900,19.00,2025-10-06 10:00:00 AM,20.60,2025-10-06 1:30:00 PM,long,crypto momentum,5,n/a,very confident,rode momentum,could scale better,
AMD,400,141.00,2025-10-07 9:45:00 AM,145.80,2025-10-07 11:30:00 AM,long,VWAP reclaim,4,n/a,focused,waited for volume,took profits early,
SMCI,400,34.20,2025-10-08 2:00:00 PM,37.40,2025-10-08 3:30:00 PM,long,support reclaim,4,n/a,calm,partial exits smooth,exited at first resistance,
NET,300,112.20,2025-10-09 1:30:00 PM,116.00,2025-10-09 3:00:00 PM,long,consolidation break,4,n/a,calm,partial exits smooth,exited at first resistance,
RIOT,700,13.80,2025-10-07 11:00:00 AM,14.90,2025-10-07 1:45:00 PM,long,BTC correlation,4,n/a,focused,correlated entry timing,took profits early,
DDOG,300,130.20,2025-10-06 2:15:00 PM,134.40,2025-10-06 3:45:00 PM,long,trend continuation,4,n/a,patient,good entry timing,exited at first resistance,
